"Chapter","Routing","Token"
"太玄經|裝","taixuanjing/zhuang","ctp:taixuanjing/zhuang"
"太玄經|眾","taixuanjing/zhong1","ctp:taixuanjing/zhong1"
"太玄經|密","taixuanjing/mi","ctp:taixuanjing/mi"
"太玄經|親","taixuanjing/qin","ctp:taixuanjing/qin"
"太玄經|斂","taixuanjing/lian","ctp:taixuanjing/lian"
"太玄經|彊","taixuanjing/qiang","ctp:taixuanjing/qiang"
"太玄經|睟","taixuanjing/sui","ctp:taixuanjing/sui"
"太玄經|盛","taixuanjing/sheng","ctp:taixuanjing/sheng"
"太玄經|居","taixuanjing/ju","ctp:taixuanjing/ju"
"太玄經|法","taixuanjing/fa","ctp:taixuanjing/fa"
"太玄經|應","taixuanjing/ying","ctp:taixuanjing/ying"
"太玄經|迎","taixuanjing/ying1","ctp:taixuanjing/ying1"
"太玄經|遇","taixuanjing/yu","ctp:taixuanjing/yu"
"太玄經|竈","taixuanjing/zao","ctp:taixuanjing/zao"
"太玄經|大","taixuanjing/da1","ctp:taixuanjing/da1"
"太玄經|廓","taixuanjing/kuo","ctp:taixuanjing/kuo"
"太玄經|文","taixuanjing/wen","ctp:taixuanjing/wen"
"太玄經|禮","taixuanjing/li1","ctp:taixuanjing/li1"
"太玄經|逃","taixuanjing/tao","ctp:taixuanjing/tao"
"太玄經|唐","taixuanjing/tang","ctp:taixuanjing/tang"
"太玄經|常","taixuanjing/chang","ctp:taixuanjing/chang"
"太玄經|度","taixuanjing/du","ctp:taixuanjing/du"
"太玄經|永","taixuanjing/yong","ctp:taixuanjing/yong"
"太玄經|昆","taixuanjing/kun","ctp:taixuanjing/kun"
"太玄經|減","taixuanjing/jian","ctp:taixuanjing/jian"
"太玄經|唫","taixuanjing/yin","ctp:taixuanjing/yin"
"太玄經|守","taixuanjing/shou","ctp:taixuanjing/shou"
"太玄經|翕","taixuanjing/xi1","ctp:taixuanjing/xi1"
"太玄經|聚","taixuanjing/ju1","ctp:taixuanjing/ju1"
"太玄經|積","taixuanjing/ji","ctp:taixuanjing/ji"
"太玄經|飾","taixuanjing/shi2","ctp:taixuanjing/shi2"
"太玄經|疑","taixuanjing/yi2","ctp:taixuanjing/yi2"
"太玄經|視","taixuanjing/shi3","ctp:taixuanjing/shi3"
"太玄經|沈","taixuanjing/chen","ctp:taixuanjing/chen"
"太玄經|內","taixuanjing/nei","ctp:taixuanjing/nei"
"太玄經|去","taixuanjing/qu","ctp:taixuanjing/qu"
"太玄經|晦","taixuanjing/hui","ctp:taixuanjing/hui"
"太玄經|瞢","taixuanjing/meng","ctp:taixuanjing/meng"
"太玄經|窮","taixuanjing/qiong","ctp:taixuanjing/qiong"
"太玄經|割","taixuanjing/ge1","ctp:taixuanjing/ge1"
"太玄經|止","taixuanjing/zhi","ctp:taixuanjing/zhi"
"太玄經|堅","taixuanjing/jian1","ctp:taixuanjing/jian1"
"太玄經|成","taixuanjing/cheng","ctp:taixuanjing/cheng"
"太玄經|䦯","taixuanjing/1","ctp:taixuanjing/1"
"太玄經|失","taixuanjing/shi4","ctp:taixuanjing/shi4"
"太玄經|劇","taixuanjing/ju2","ctp:taixuanjing/ju2"
"太玄經|馴","taixuanjing/xun","ctp:taixuanjing/xun"
"太玄經|將","taixuanjing/jiang","ctp:taixuanjing/jiang"
"太玄經|難","taixuanjing/nan","ctp:taixuanjing/nan"
"太玄經|勤","taixuanjing/qin1","ctp:taixuanjing/qin1"
"太玄經|養","taixuanjing/yang","ctp:taixuanjing/yang"
"太玄經|玄衝","taixuanjing/xuan-chong","ctp:taixuanjing/xuan-chong"
"太玄經|太玄經錯","taixuanjing/tai-xuan-cuo","ctp:taixuanjing/tai-xuan-cuo"
"太玄經|太玄攡","taixuanjing/tai-xuan-li","ctp:taixuanjing/tai-xuan-li"
"太玄經|太玄瑩","taixuanjing/tai-xuan-ying","ctp:taixuanjing/tai-xuan-ying"
"太玄經|太玄數","taixuanjing/tai-xuan-shu","ctp:taixuanjing/tai-xuan-shu"
"太玄經|太玄文","taixuanjing/tai-xuan-wen","ctp:taixuanjing/tai-xuan-wen"
"太玄經|太玄棿","taixuanjing/tai-xuan-nie","ctp:taixuanjing/tai-xuan-nie"
"太玄經|太玄圖","taixuanjing/tai-xuan-tu","ctp:taixuanjing/tai-xuan-tu"
"太玄經|太玄告","taixuanjing/tai-xuan-gao","ctp:taixuanjing/tai-xuan-gao"
