"Chapter","Routing","Token"
"楚辭|九歎|離世","chu-ci/jiu-tan/li-shi","ctp:chu-ci/li-shi"
"楚辭|九歎|怨思","chu-ci/jiu-tan/yuan-si1","ctp:chu-ci/yuan-si1"
"楚辭|九歎|遠逝","chu-ci/jiu-tan/yuan-shi1","ctp:chu-ci/yuan-shi1"
"楚辭|九歎|惜賢","chu-ci/jiu-tan/xi-xian","ctp:chu-ci/xi-xian"
"楚辭|九歎|憂苦","chu-ci/jiu-tan/you-ku","ctp:chu-ci/you-ku"
"楚辭|九歎|愍命","chu-ci/jiu-tan/min-ming","ctp:chu-ci/min-ming"
"楚辭|九歎|思古","chu-ci/jiu-tan/si-gu","ctp:chu-ci/si-gu"
"楚辭|九歎|遠遊","chu-ci/jiu-tan/yuan-you1","ctp:chu-ci/yuan-you1"
"楚辭|九思|九思","chu-ci/jiu-si/jiu-si","ctp:chu-ci/jiu-si"
"楚辭|九思|逢尤","chu-ci/jiu-si/feng-you","ctp:chu-ci/feng-you"
"楚辭|九思|怨上","chu-ci/jiu-si/yuan-shang","ctp:chu-ci/yuan-shang"
"楚辭|九思|疾世","chu-ci/jiu-si/ji-shi","ctp:chu-ci/ji-shi"
"楚辭|九思|憫上","chu-ci/jiu-si/min-shang","ctp:chu-ci/min-shang"
"楚辭|九思|遭厄","chu-ci/jiu-si/zao-e","ctp:chu-ci/zao-e"
"楚辭|九思|悼亂","chu-ci/jiu-si/dao-luan","ctp:chu-ci/dao-luan"
"楚辭|九思|傷時","chu-ci/jiu-si/shang-shi","ctp:chu-ci/shang-shi"
"楚辭|九思|哀歲","chu-ci/jiu-si/ai-sui","ctp:chu-ci/ai-sui"
"楚辭|九思|守志","chu-ci/jiu-si/shou-zhi","ctp:chu-ci/shou-zhi"
