"Chapter","Routing","Token"
"西遊記|三清觀大聖留名　車遲國猴王顯法","xiyouji/ch45","ctp:xiyouji/ch45"
"西遊記|外道弄強欺正法　心猿顯聖滅諸邪","xiyouji/ch46","ctp:xiyouji/ch46"
"西遊記|聖僧夜阻通天水　金木垂慈救小童","xiyouji/ch47","ctp:xiyouji/ch47"
"西遊記|魔弄寒風飄大雪　僧思拜佛履層冰","xiyouji/ch48","ctp:xiyouji/ch48"
"西遊記|三藏有災沉水宅　觀音救難現魚籃","xiyouji/ch49","ctp:xiyouji/ch49"
"西遊記|情亂性從因愛慾　神昏心動遇魔頭","xiyouji/ch50","ctp:xiyouji/ch50"
"西遊記|心猿空用千般計　水火無功難煉魔","xiyouji/ch51","ctp:xiyouji/ch51"
"西遊記|悟空大鬧金兜洞　如來暗示主人公","xiyouji/ch52","ctp:xiyouji/ch52"
"西遊記|禪主吞餐懷鬼孕　黃婆運水解邪胎","xiyouji/ch53","ctp:xiyouji/ch53"
"西遊記|法性西來逢女國　心猿定計脫煙花","xiyouji/ch54","ctp:xiyouji/ch54"
"西遊記|色邪淫戲唐三藏　性正修持不壞身","xiyouji/ch55","ctp:xiyouji/ch55"
"西遊記|神狂誅草寇　道迷放心猿","xiyouji/ch56","ctp:xiyouji/ch56"
"西遊記|真行者落伽山訴苦　假猴王水簾洞謄文","xiyouji/ch57","ctp:xiyouji/ch57"
"西遊記|二心攪亂大乾坤　一體難修真寂滅","xiyouji/ch58","ctp:xiyouji/ch58"
"西遊記|唐三藏路阻火焰山　孫行者一調芭蕉扇","xiyouji/ch59","ctp:xiyouji/ch59"
"西遊記|牛魔王罷戰赴華筵　孫行者二調芭蕉扇","xiyouji/ch60","ctp:xiyouji/ch60"
"西遊記|豬八戒助力敗魔王　孫行者三調芭蕉扇","xiyouji/ch61","ctp:xiyouji/ch61"
"西遊記|滌垢洗心惟掃塔　縛魔歸主乃修身","xiyouji/ch62","ctp:xiyouji/ch62"
"西遊記|二僧蕩怪鬧龍宮　群聖除邪獲寶貝","xiyouji/ch63","ctp:xiyouji/ch63"
"西遊記|荊棘嶺悟能努力　木仙庵三藏談詩","xiyouji/ch64","ctp:xiyouji/ch64"
"西遊記|妖邪假設小雷音　四眾皆遭大厄難","xiyouji/ch65","ctp:xiyouji/ch65"
"西遊記|諸神遭毒手　彌勒縛妖魔","xiyouji/ch66","ctp:xiyouji/ch66"
"西遊記|拯救駝羅禪性穩　脫離穢污道心清","xiyouji/ch67","ctp:xiyouji/ch67"
"西遊記|朱紫國唐僧論前世　孫行者施為三折肱","xiyouji/ch68","ctp:xiyouji/ch68"
"西遊記|心主夜間修藥物　君王筵上論妖邪","xiyouji/ch69","ctp:xiyouji/ch69"
"西遊記|妖魔寶放煙沙火　悟空計盜紫金鈴","xiyouji/ch70","ctp:xiyouji/ch70"
"西遊記|行者假名降怪犼　觀音現像伏妖王","xiyouji/ch71","ctp:xiyouji/ch71"
"西遊記|盤絲洞七情迷本　濯垢泉八戒忘形","xiyouji/ch72","ctp:xiyouji/ch72"
"西遊記|情因舊恨生災毒　心主遭魔幸破光","xiyouji/ch73","ctp:xiyouji/ch73"
"西遊記|長庚傳報魔頭狠　行者施為變化能","xiyouji/ch74","ctp:xiyouji/ch74"
"西遊記|心猿鑽透陰陽體　魔王還歸大道真","xiyouji/ch75","ctp:xiyouji/ch75"
"西遊記|心神居舍魔歸性　木母同降怪體真","xiyouji/ch76","ctp:xiyouji/ch76"
"西遊記|群魔欺本性　一體拜真如","xiyouji/ch77","ctp:xiyouji/ch77"
"西遊記|比丘憐子遣陰神　金殿識魔談道德","xiyouji/ch78","ctp:xiyouji/ch78"
"西遊記|尋洞擒妖逢老壽　當朝正主救嬰兒","xiyouji/ch79","ctp:xiyouji/ch79"
"西遊記|姹女育陽求配偶　心猿護主識妖邪","xiyouji/ch80","ctp:xiyouji/ch80"
"西遊記|鎮海寺心猿知怪　黑松林三眾尋師","xiyouji/ch81","ctp:xiyouji/ch81"
"西遊記|姹女求陽　元神護道","xiyouji/ch82","ctp:xiyouji/ch82"
"西遊記|心猿識得丹頭　姹女還歸本性","xiyouji/ch83","ctp:xiyouji/ch83"
"西遊記|難滅伽持圓大覺　法王成正體天然","xiyouji/ch84","ctp:xiyouji/ch84"
"西遊記|心猿妒木母　魔主計吞禪","xiyouji/ch85","ctp:xiyouji/ch85"
"西遊記|木母助威征怪物　金公施法滅妖邪","xiyouji/ch86","ctp:xiyouji/ch86"
"西遊記|鳳仙郡冒天止雨　孫大聖勸善施霖","xiyouji/ch87","ctp:xiyouji/ch87"
"西遊記|禪到玉華施法會　心猿木母授門人","xiyouji/ch88","ctp:xiyouji/ch88"
"西遊記|黃獅精虛設釘鈀宴　金木土計鬧豹頭山","xiyouji/ch89","ctp:xiyouji/ch89"
"西遊記|師獅授受同歸一　盜道纏禪靜九靈","xiyouji/ch90","ctp:xiyouji/ch90"
"西遊記|金平府元夜觀燈　玄英洞唐僧供狀","xiyouji/ch91","ctp:xiyouji/ch91"
"西遊記|三僧大戰青龍山　四星挾捉犀牛怪","xiyouji/ch92","ctp:xiyouji/ch92"
"西遊記|給孤園問古談因　天竺國朝王遇偶","xiyouji/ch93","ctp:xiyouji/ch93"
"西遊記|四僧宴樂御花園　一怪空懷情慾喜","xiyouji/ch94","ctp:xiyouji/ch94"
"西遊記|假合真形擒玉兔　真陰歸正會靈元","xiyouji/ch95","ctp:xiyouji/ch95"
"西遊記|寇員外喜待高僧　唐長老不貪富貴","xiyouji/ch96","ctp:xiyouji/ch96"
"西遊記|金酬外護遭魔蟄　聖顯幽魂救本原","xiyouji/ch97","ctp:xiyouji/ch97"
"西遊記|猿熟馬馴方脫殼　功成行滿見真如","xiyouji/ch98","ctp:xiyouji/ch98"
"西遊記|九九數完魔滅盡　三三行滿道歸根","xiyouji/ch99","ctp:xiyouji/ch99"
"西遊記|徑回東土　五聖成真","xiyouji/ch100","ctp:xiyouji/ch100"
